Victor Anichebe
Jussi Jääskeläinen
Danny Welbeck
Wayne Routledge
James Milner
Kevin Doyle
Diego Poyet
Karl Henry
Alex Palmer
Kyle Walker
Younès Kaboul
Michel Vorm
Adam Armstrong
Jordan Henderson
Fernandinho
Guy Demel
Paul McShane
Alex Oxlade-Chamberlain
Maya Yoshida
Jerome Binnom-Williams
Bruno Zuculini
John O'Shea
Josh Sheehan
Luke McGee
Jordan Rossiter
Bobby Zamora
Richard Dunne
Tomás Rosicky
Petr Cech
Gary Gardner
Charlie Adam
Alex Pritchard
Rory Watson
João Carlos Teixeira
Chris Herd
Lewis Kinsella
Liam Shephard
Davide Santon
Alexis Sánchez
James Tomkins
Calaum Jahraldo-Martin
Nabil Bentaleb
Shinji Kagawa
Shaun Wright-Phillips
Lucas Leiva
Anderson
Yaya Touré
Scott Arfield
James McCarthy
Dwight Tiendalli
José Enrique
Raheem Hanley
Dele Alli
Loïc Rémy
Benjamin Stambouli
Carlton Cole
Matt Macey
Julián Speroni
Gary Taylor-Fletcher
Emre Can
Daryl Janmaat
Nélson Oliveira
Richard Wright
Claudio Yacob
Joel Campbell
Edin Dzeko
Glen Kamara
Mark Oxley
Alex Iwobi
Kyle Bartley
